Area;Perimeter;Glacier;Année;Massif;WGI;Opérateur;MEAN_Pixel;MIN_PixelV;MAX_PixelV;MEDIAN_Pix;date;data_sourc;institutio;date_analy;FID_1;Length;aspect_sec;x_coord;y_coord;GLIMS_ID;analyst_2;processing;MEAN_Pix_1
6.5961;33.7416;Tour;2015;Mont Blanc;F4N01234A01;Antoine Rabatel;3005.65901148;2413;3539;2995.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;589;4532.73572;NW;6.9968725843;45.9834001735;G006988E45987N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;24.410
0.7203;7.1752;du Chardonnet;2015;Mont Blanc;F4N01235A06;Antoine Rabatel;3195.35535308;2845;3626;3192.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;533;1497.33231;W;7.0059960302;45.9614863260;G007003E45960N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;26.272
1.1944;11.6362;des Amethystes;2015;Mont Blanc;F4N01235A08;Antoine Rabatel;3205.26766304;2635;3601;3273.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;554;3084.88950;NW;7.0230274400;45.9503799206;G006985E45951N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;24.582
0.5720;6.8851;du Nant Blanc;2015;Mont Blanc;F4N01236A03;Antoine Rabatel;2819.31197772;2412;3240;2861.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;513;1654.32039;WNW;6.9542123118;45.9389078082;G006951E45939N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;28.979
1.0173;14.2533;du Tour Noir;2015;Mont Blanc;F4N01235A08;Antoine Rabatel;3169.67467949;2795;3667;3150.5;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;546;1870.08341;NW;7.0286304567;45.9425185419;G006985E45951N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;24.582
6.6518;44.5737;de Talefre;2015;Mont Blanc;F4N01236A07;Antoine Rabatel;2998.27277132;2499;3724;3009.5;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;590;4625.77008;WSW;6.9887704545;45.9156094153;G006992E45913N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;23.018
0.5265;6.0365;d'Envers de Blaitiere 1;2015;Mont Blanc;F4N01237B03;Antoine Rabatel;2704.58074534;2452;3007;2700.5;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;506;1428.50695;NW;6.9199031962;45.8931899672;G006901E45901N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;26.832
0.6753;6.3969;des Pelerins;2015;Mont Blanc;F4N01237C01;Antoine Rabatel;2519.05476190;2278;2903;2495.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;530;1781.92442;NW;6.8915222565;45.8911419413;G006889E45892N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;23.115
1.0967;10.6455;de Miage;2015;Mont Blanc;F4N01239B03;Antoine Rabatel;2762.61176471;2376;3678;2634.5;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;547;2749.23381;W;6.7999849376;45.8279998920;G006799E45827N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;24.237
1.1880;10.6606;des Glaciers;2015;Mont Blanc;F4N01144A18;Antoine Rabatel;3194.17827298;2751;3682;3175.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;553;2081.51777;SSW;6.7954877156;45.7713923630;G006794E45769N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;26.901
0.5912;10.3491;de l'Invernet 1;2015;Haute Vallée de l'Isère;F4N01144B11;Antoine Rabatel;2900.80277778;2602;3264;2904.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;517;2175.30770;WNW;6.9902712249;45.6348749627;G006986E45634N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;26.085
0.7193;4.9444;Inferieur des Balmes;2015;Haute Vallée de l'Isère;F4N01144B30;Antoine Rabatel;2476.04000000;2374;2783;2447.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;532;1288.43916;NNW;6.9744554533;45.5483433876;G006972E45549N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;16.874
0.6080;5.7249;Nord de la Gurraz;2015;Haute Vallée de l'Isère;F4N01144G11;Antoine Rabatel;3044.08108108;2656;3390;3041.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;523;1949.45518;ENE;6.8702091306;45.5345396032;G006872E45535N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;24.729
1.5830;10.2692;de la Gurraz;2015;Haute Vallée de l'Isère;F4N01144G10;Antoine Rabatel;3099.92592593;2481;3563;3094.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;567;2801.79007;NE;6.8722760389;45.5258010151;G006874E45531N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;22.629
0.6644;5.8275;du Fond;2015;Haute Vallée de l'Isère;F4N01144C02;Antoine Rabatel;3229.06532663;2933;3614;3190.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;528;1700.45427;NW;6.9962834329;45.5175228311;G006993E45521N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;24.023
0.8093;6.8039;des Sources de l'Isere 1;2015;Haute Vallée de l'Isère;F4N01144E22;Antoine Rabatel;3090.14024390;2938;3383;3071.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;536;1567.13342;NNW;7.1082435935;45.4409122774;G007101E45442N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;16.762
0.5966;5.3975;des Sources de l'Isere 2_1;2015;Haute Vallée de l'Isère;F4N01144E22;Antoine Rabatel;3077.94565217;2786;3387;3080.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;522;1430.97336;NNW;7.1001119715;45.4373300682;G007101E45442N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;16.762
0.7166;6.5534;de la Grande Casse;2015;Vanoise;F4N01146C16;Antoine Rabatel;2825.63370787;2597;3076;2835.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;531;2259.54968;SW;6.8048636979;45.4084791110;G006803E45409N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;17.207
