Area;Perimeter;Glacier;Annee;Massif;MEAN_Pixel;MIN_Pixel;MAX_Pixel;MEDIAN_Pix;Length;Aspect;x_coord;y_coord;GLIMS_ID;Massif_SAFRAN;Aspect_num;ID
1.0147;5.5605;des Fours;2003;Vanoise;3030.699346;2774;3306;3027;968.287615;N;6.99014;45.3723;G006990E45372N;6;0;3657
0.4999;3.4673;des Roches;2003;Vanoise;3059.614583;2860;3234;3060.5;1072.402645;ENE;7.00515;45.3695;G007005E45370N;6;90;3658
0.0326;0.8233;de Bezin;2003;Haute Maurienne;2958.428571;2917;3004;2959.5;218.476451;NNE;7.00898;45.3826;G007009E45383N;6;0;3354
0.0566;1.6056;du Fond 1;2003;Haute Maurienne;2960.372093;2911;3010;2958;390.7417082;N;7.00878;45.3894;G007009E45389N;6;0;3277
0.0391;0.9142;de la Jave 1;2003;Haute Maurienne;2882.375;2843;2922;2885.5;297.4174189;NE;7.01203;45.3956;G007012E45396N;6;45;3420
0.0114;0.5057;de la Jave 2;2003;Haute Maurienne;2886.25;2863;2904;2887;157.8008763;NE;7.01544;45.3945;G007015E45395N;6;45;3566
0.3215;4.4211;de Belle Place;2004;Vanoise;3015.069767;2814;3250;3000.5;888.2261529;NE;6.7671;45.2898;G006767E45290N;10;45;3425
0.1865;3.0199;de Labby 1;2003;Vanoise;3177.462069;3018;3292;3176;774.6476043;W;6.73332;45.2913;G006733E45291N;10;270;3745
1.9039;13.6288;Genepy;2003;Vanoise;3142.910221;2692;3542;3146.5;1446.793017;NW;6.72711;45.3095;G006727E45309N;10;315;3669
3.8583;14.3142;Arpont;2003;Vanoise;3121.668241;2672;3551;3125;3008.264227;ESE;6.75643;45.3183;G006756E45318N;10;90;3546
1.3626;6.7176;Sonnailles / Nant;2003;Vanoise;3373.472779;3142;3554;3377;2500.941436;N;6.74713;45.337;G006747E45337N;10;0;3259
3.5677;13.3875;du Pelve 1;2003;Vanoise;3093.612172;2655;3522;3097.5;2609.616499;ENE;6.76265;45.3441;G006763E45344N;10;90;3667
1.8037;11.0348;du Grand Marchet;2003;Vanoise;3029.445;2791;3234;3028.5;1422.192615;NW;6.76485;45.3614;G006765E45361N;10;315;3668
2.7755;9.4138;de l'Arcelin;2003;Vanoise;2958.63447;2665;3236;2961.5;2851.776881;N;6.78025;45.3692;G006780E45369N;10;0;3427
0.3575;4.5008;de la Rechasse;2003;Vanoise;2996.121951;2835;3165;2993;513.9430572;N;6.79854;45.3761;G006799E45376N;10;0;3666
0.2296;4.625;de la Masse;2003;Vanoise;2921.175115;2630;3188;2923;917.7757388;NNW;6.6761;45.2736;G006676E45274N;10;0;3333
0.0268;0.8021;de Polset Centre;2003;Vanoise;3303.394737;3250;3375;3299.5;247.0949055;SE;6.64001;45.2738;G006640E45274N;10;135;3401
3.0955;17.334;de Chaviere;2003;Vanoise;3130.525168;2807;3447;3130.5;3100.218264;SSE;6.61544;45.2658;G006615E45266N;10;180;3672
0.6721;7.6525;du Bouchet 1;2003;Vanoise;3017.518703;2758;3314;3022;1567.673642;NW;6.602;45.262;G006602E45262N;10;315;3809
0.0401;1.2536;des Saints Peres;2003;Vanoise;3080.837209;2991;3181;3065;381.1159605;NW;6.60951;45.2807;G006610E45281N;10;315;3329
0.4466;5.8367;Face Ouest;2003;Vanoise;3152.096104;2790;3499;3166;1271.103706;NW;6.61316;45.2846;G006613E45285N;10;315;3522
3.5842;13.5351;de Gebroulaz;2003;Vanoise;3034.380787;2589;3471;3035.5;4376.551145;N;6.62902;45.2947;G006629E45295N;10;0;3671
0.3486;3.7889;de Polset Ouest;2003;Vanoise;3236.714976;3084;3380;3234;901.1650489;SE;6.63056;45.2709;G006631E45271N;10;135;3552
0.1791;2.8834;du Borgne;2003;Vanoise;2960.852941;2848;3066;2963.5;507.3400177;N;6.60884;45.3092;G006609E45309N;10;0;3439
0.5735;7.2386;des Grandes Pareis;2003;Haute Maurienne;3094.614679;2727;3374;3107;819.7583727;NW;7.1085;45.3008;G007109E45301N;11;315;3524
