Area;Perimeter;Glacier;Annee;Massif;MEAN_Pixel;MIN_Pixel;MAX_Pixel;MEDIAN_Pix;Length;Aspect;x_coord;y_coord;GLIMS_ID;Massif_SAFRAN;Aspect_num
0.5957;7.2713;d'Armancette;2015;Mont Blanc;3279.931624;2757;3674;3284;1794.44061;W;6.781451927;45.80867852;G006778E45809N;3;270
0.004;0.2561;de la Republique;2015;Mont Blanc;2754.5;2746;2763;2754.5;68.30279;NE;6.919755848;45.90623591;G006919E45906N;3;45
0.0453;1.2503;de la Thendia;2015;Mont Blanc;2587.766667;2472;2696;2587;328.61429;NNE;6.922819496;45.90979083;G006924E45911N;3;0
0.152;2.3216;de Lognan;2015;Mont Blanc;2858.189474;2643;3028;2856;896.89221;NNW;6.957931518;45.95322898;G006957E45955N;3;0
0.1028;1.7408;des Grands Montets;2015;Mont Blanc;3200.403226;3100;3259;3212.5;358.76945;W;6.960904081;45.94565716;G006955E45946N;3;270
0.1046;2.8074;des Drus;2015;Mont Blanc;2533.888889;2395;2724;2518;955.93104;WNW;6.945878899;45.93219082;G006947E45933N;3;270
0.0946;1.7186;de l'Aiguille de l'Eboulement;2015;Mont Blanc;3445;3267;3522;3459;350.39478;NW;7.001656436;45.89451598;G007000E45895N;3;315
0.099;1.5439;de la Griaz 2;2015;Mont Blanc;2899.825397;2822;3051;2883;419.60103;NW;6.816978729;45.85999849;G006823E45859N;3;315
10.0726;504778;d'Argentiere;2015;Mont Blanc;2808.363893;1633;4093;2820;4566164;NW;6.996976498;45.94140032;G006985E45951N;3;315
0.0461;0.9995;de la Petite Aiguille des glaciers;2015;Mont Blanc;3341.785714;3270;3388;3353;258.01522;SSE;6.804703651;45.76961173;G006804E45769N;6;180
1.188;10.6606;des Glaciers;2015;Mont Blanc;3194.178273;2751;3682;3175;2081.51777;SSW;6.795487716;45.77139236;G006794E45769N;6;180
0.205;3.5555;des Lanchettes;2015;Mont Blanc;2671.296875;2559;2760;2680;614.84173;SSE;6.762473878;45.76489553;G006764E45765N;6;180
0.0307;1.3238;d'Enclave;2015;Mont Blanc;2838.166667;2764;2909;2831;265.37995;SSE;6.754126357;45.76017516;G006753E45760N;6;180
0.0133;0.6;du Grand 2;2015;Haute Vallee de l'Isere;2957.5;2908;3017;2954;190.55659;WNW;6.980944364;45.63766724;G006985E45642N;6;270
0.0564;1.4;de l'Invernet 2;2015;Haute Vallee de l'Isere;3252.066667;3161;3309;3256.5;355.51588;WNW;6.995919769;45.63158563;G006986E45634N;6;270
